fb_internal_id,fb_published_date,fb_title,fb_link,fb_description,likes,shares,comments,consumptions
301552756599088_1322686144485739,2017-04-04 23:59:00+02,No sabemos lo que tenemos hasta que lo perdemos - La Mente es Maravillosa,https://lamenteesmaravillosa.com/no-sabemos-lo-tenemos-lo-perdemos/,Una estrella no significa nada hasta que te la quitan. Nos cuesta valorar cada detalle y cada presencia. No conocemos el valor de lo que tenemos.,5930,3062,43,13672
301552756599088_1322688717818815,2017-04-05 02:00:00+02,7 formas invisibles de machismo - La Mente es Maravillosa,https://lamenteesmaravillosa.com/7-formas-invisibles-machismo/,"El machismo está lejos de ser erradicado. Sigue presentándose en sus formas más brutales, pero también en afirmaciones cotidianas que parecen inofensivas",1498,1294,35,15769
301552756599088_1323549797732707,2017-04-05 14:30:00+02,"Querido profesor": un vídeo para entender al alumno con TDAH - La Mente es Maravillosa,https://lamenteesmaravillosa.com/querido-profesor-un-video-para-entender-al-alumno-con-tdah/,"El alumno con TDAH quiere aprender, pero se encuentra con una expectativa de aprendizaje poco apropiada donde los profesores no les comprenden.",2978,4831,76,21266
301552756599088_1323554524398901,2017-04-05 16:30:00+02,¿Qué podemos aprender de las experiencias dolorosas? - La Mente es Maravillosa,https://lamenteesmaravillosa.com/podemos-aprender-las-experiencias-dolorosas/,"Las experiencias dolorosas esconden lecciones que la vida quiere que aprendemos. Aunque lo veamos todo negro, veremos el sol brillar.",1338,627,20,7119
301552756599088_1323563724397981,2017-04-05 18:30:00+02,"Me gustan las personas con olor a quiero, puedo y me lo merezco",https://lamenteesmaravillosa.com/gustan-personas-olor-quiero-puedo/,"Las personas de alma humilde y corazón valiente cautivan. Atrae quien no se rinde, inspira quien tiene claro su camino sin importar lo que otros digan.",17224,9737,71,27684
301552756599088_1323868727700814,2017-04-05 20:30:00+02,Eres más fuerte que la envidia de los demás - La Mente es Maravillosa,https://lamenteesmaravillosa.com/mas-fuerte-la-envidia-los-demas/,Sentir envidia es algo íntimo que no se suele confesar. ¿Reconoces a la gente envidiosa a tu alrededor? Es momento de hacerles frente con estos consejos.,4872,2772,85,15063
301552756599088_1323799714374382,2017-04-05 22:00:00+02,"Cuando mueren los apegos, nace la libertad emocional",http://lamenteesmaravillosa.com/cuando-mueren-los-apegos-nace-la-libertad-emocional/,Hoy te dejo en libertad. Hoy me olvido de mis miedos. Hoy comienzo a valorarme. Hoy salgo adelante. Hoy te dejo de esperar.,18545,12978,170,47504
301552756599088_1323874127700274,2017-04-05 23:59:00+02,Los compañeros de vida te aman tal y como eres - La Mente es Maravillosa,https://lamenteesmaravillosa.com/los-companeros-vida-te-aman-tal/,"El amor compañero es amor al cuadrado, es amarse sin excusas ni vaivenes, aceptarse, ayudarse a crecer, caminar de la mano por la vida y sentirse pleno...",13538,8348,159,31041
301552756599088_1323877067699980,2017-04-06 02:00:00+02,Las tendencias slow: más lento es mejor… - La Mente es Maravillosa,https://lamenteesmaravillosa.com/las-tendencias-slow-mas-lento-mejor/,"Las tendencias slow cobran cada vez más fuerza. Es un enfoque en el que se le da especial valor a la lentitud, por oposición al frenesí actual",3707,1693,26,12656
301552756599088_1324765294277824,2017-04-06 14:30:00+02,¿Cómo podemos mejorar nuestra forma de hacer críticas constructivas? - La Mente es Maravillosa,https://lamenteesmaravillosa.com/podemos-mejorar-nuestra-forma-criticas-constructivas/,Las críticas constructivas son útiles y necesarias en nuestra vida. ¡Aprende a hacerlas de forma adecuada para evitar conflictos!,501,296,14,2840
301552756599088_1324765530944467,2017-04-06 16:30:00+02,¿Nuestra personalidad influye en nuestra salud? - La Mente es Maravillosa,https://lamenteesmaravillosa.com/nuestra-personalidad-influye-en-nuestra-salud/,"Parece impensable que dependiendo de nuestra forma de ser podamos desarrollar enfermedades, sin embargo, esto podría tener base científica.",441,200,1,3351
301552756599088_1324895864264767,2017-04-06 18:30:00+02,"Sufrir en silencio, esa costumbre tan nuestra",https://lamenteesmaravillosa.com/sufrir-silencio-esa-costumbre-tan-nuestra-2/,"Muchos lo hacemos, nos escondemos en las circunvoluciones de nuestras caracolas privadas para sufrir en soledad, calladamente y sin que nadie lo note...",3299,2080,57,12572
